,index,Unnamed: 0,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pu_loc_id,do_loc_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,month,day,trip_duration,duration_minutes,pickup_dropoff,mean_distance,mean_duration,rush_hour
41,1547,7970149,2,2017-02-03 11:40:39,2017-02-03 12:37:00,2,17.84,2,N,132,163,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,February,Friday,0 days 00:56:21,56.35,132 163,19.229,52.94166666666666,0
42,1644,665758,1,2017-01-03 09:40:13,2017-01-03 10:25:45,1,20.5,2,N,132,140,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,January,Tuesday,0 days 00:45:32,45.53333333333333,132 140,19.293333333333333,36.791666666666664,1
43,1784,84265955,2,2017-10-07 04:07:48,2017-10-07 04:38:42,1,18.56,2,N,132,141,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84,October,Saturday,0 days 00:30:54,30.9,132 141,19.14,50.39722222222222,0
44,1927,90396142,1,2017-10-26 16:32:56,2017-10-26 18:24:30,1,22.5,2,N,68,132,1,52.0,4.5,0.5,0.02,5.76,0.3,63.08,October,Thursday,0 days 01:51:34,88.74999999999999,68 132,18.785,58.03333333333333,1
45,2088,80640537,1,2017-09-25 15:53:51,2017-09-25 16:33:20,1,12.8,2,N,130,230,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,September,Monday,0 days 00:39:29,39.483333333333334,130 230,12.8,39.483333333333334,0
46,2104,48233654,1,2017-06-11 15:16:43,2017-06-11 16:43:40,1,17.7,2,N,132,164,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,June,Sunday,0 days 01:26:57,86.95,132 164,18.7575,59.56041666666667,0
47,2129,84717962,2,2017-10-08 16:37:04,2017-10-08 17:28:34,1,22.62,2,N,132,230,1,52.0,0.0,0.5,5.0,5.76,0.3,63.56,October,Sunday,0 days 00:51:30,51.5,132 230,18.5712,59.59533333333333,0
32,1371,7413784,1,2017-02-01 19:45:47,2017-02-01 20:18:29,1,17.6,2,N,161,132,1,52.0,4.5,0.5,5.0,5.54,0.3,67.84,February,Wednesday,0 days 00:32:42,32.7,161 132,17.1625,56.55,1
33,1377,15829466,2,2017-02-27 13:27:16,2017-02-27 14:14:26,2,19.99,2,N,132,43,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,February,Monday,0 days 00:47:10,47.166666666666664,132 43,18.744999999999997,41.916666666666664,0
34,1390,96589678,1,2017-11-14 17:29:23,2017-11-14 18:38:25,1,15.2,2,N,132,231,2,52.0,4.5,0.5,0.0,0.0,0.3,57.3,November,Tuesday,0 days 01:09:02,69.03333333333333,132 231,20.46,51.75833333333333,1
35,1403,99437069,2,2017-11-23 19:20:55,2017-11-23 19:53:22,5,17.75,2,N,132,186,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,November,Thursday,0 days 00:32:27,32.45,132 186,18.375,56.43611111111111,1
36,1415,44214172,1,2017-05-23 11:10:50,2017-05-23 12:11:06,2,20.2,2,N,132,262,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,May,Tuesday,0 days 01:00:16,60.266666666666666,132 262,19.165,49.93125,0
37,1416,71776501,2,2017-08-25 15:05:05,2017-08-25 16:26:51,2,18.59,2,N,132,230,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,August,Friday,0 days 01:21:46,81.76666666666667,132 230,18.5712,59.59533333333333,0
38,1463,3454899,1,2017-01-13 10:39:51,2017-01-13 11:13:43,1,16.6,2,N,229,132,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,January,Friday,0 days 00:33:52,33.86666666666667,229 132,16.683333333333334,46.040740740740745,0
39,1496,27465882,2,2017-04-03 15:37:53,2017-04-03 16:44:33,1,26.39,2,N,132,261,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,April,Monday,0 days 01:06:40,66.66666666666667,132 261,22.115000000000002,51.49375,0
481,22042,47161481,2,2017-06-01 13:27:17,2017-06-01 14:06:57,6,19.07,2,N,75,132,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,June,Thursday,0 days 00:39:40,39.666666666666664,75 132,18.4425,36.204166666666666,0
482,22152,66456828,2,2017-08-05 21:05:35,2017-08-05 21:40:26,1,17.11,2,N,132,161,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,August,Saturday,0 days 00:34:51,34.85,132 161,18.601666666666667,46.481944444444444,0
483,22189,98332565,2,2017-11-19 18:39:28,2017-11-19 19:16:59,1,19.55,2,N,132,236,1,52.0,0.0,0.5,10.0,5.76,0.3,68.56,November,Sunday,0 days 00:37:31,37.516666666666666,132 236,19.491666666666667,50.24722222222223,0
484,22194,90991617,2,2017-10-28 09:22:21,2017-10-28 09:51:50,1,17.49,2,N,164,132,1,52.0,0.0,0.5,14.64,5.76,0.3,73.2,October,Saturday,0 days 00:29:29,29.483333333333334,164 132,16.44333333333333,39.916666666666664,0
485,22202,78550698,2,2017-09-18 13:01:04,2017-09-18 14:05:54,1,21.09,2,N,132,229,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,September,Monday,0 days 01:04:50,64.83333333333333,132 229,18.49,47.61388888888889,0
486,22391,24442050,1,2017-03-24 00:24:34,2017-03-24 00:52:51,2,16.5,2,N,132,164,1,52.0,0.0,0.5,14.6,5.76,0.3,73.16,March,Friday,0 days 00:28:17,28.283333333333335,132 164,18.7575,59.56041666666667,0
487,22432,87181486,2,2017-10-16 15:29:46,2017-10-16 16:59:23,1,19.88,2,N,125,132,1,52.0,0.0,0.5,6.0,5.76,0.3,64.56,October,Monday,0 days 01:29:37,88.74999999999999,125 132,19.88,88.74999999999999,0
488,22435,1478358,2,2017-01-20 06:04:31,2017-01-20 06:43:06,1,18.75,2,N,132,262,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,January,Friday,0 days 00:38:35,38.583333333333336,132 262,19.165,49.93125,1
489,22436,99916292,2,2017-11-25 21:14:55,2017-11-25 21:59:37,1,21.1,2,N,132,163,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,November,Saturday,0 days 00:44:42,44.7,132 163,19.229,52.94166666666666,0
490,22515,28549331,2,2017-04-06 17:53:05,2017-04-06 18:45:40,2,17.65,2,N,132,234,1,52.0,4.5,0.5,12.61,5.76,0.3,75.67,April,Thursday,0 days 00:52:35,52.583333333333336,132 234,17.654,49.833333333333336,1
491,22559,91054096,1,2017-10-28 13:54:54,2017-10-28 14:49:12,2,18.1,2,N,163,132,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,October,Saturday,0 days 00:54:18,54.3,163 132,17.275833333333335,52.33611111111111,0
492,22579,394818,1,2017-01-02 06:40:26,2017-01-02 07:25:21,1,21.3,2,N,142,132,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,January,Monday,0 days 00:44:55,44.916666666666664,142 132,20.77,48.949999999999996,1
493,22593,1690610,1,2017-01-20 18:05:09,2017-01-20 19:12:50,1,15.4,2,N,211,132,2,52.0,4.5,0.5,0.0,0.0,0.3,57.3,January,Friday,0 days 01:07:41,67.68333333333334,211 132,16.580000000000002,61.69166666666667,1
494,22604,20742961,1,2017-03-12 17:56:04,2017-03-12 18:40:47,2,23.0,2,N,230,132,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,March,Sunday,0 days 00:44:43,44.71666666666667,230 132,18.14875,56.849999999999994,0
495,22620,52171010,2,2017-06-19 20:24:09,2017-06-19 21:01:04,3,20.96,2,N,132,261,1,52.0,0.0,0.5,5.5,0.0,0.3,58.3,June,Monday,0 days 00:36:55,36.916666666666664,132 261,22.115000000000002,51.49375,0
496,22686,9039930,2,2017-02-08 18:13:26,2017-02-08 19:34:11,5,10.64,1,N,170,70,1,52.0,1.0,0.5,14.84,5.54,0.3,74.18,February,Wednesday,0 days 01:20:45,80.75,170 70,10.64,80.75,1
497,22695,66632549,2,2017-08-06 16:43:59,2017-08-06 17:24:47,1,16.71,2,N,132,164,1,52.0,0.0,0.5,14.64,5.76,0.3,73.2,August,Sunday,0 days 00:40:48,40.8,132 164,18.7575,59.56041666666667,0
0,11,18600059,2,2017-03-05 19:15:30,2017-03-05 19:52:18,2,18.9,2,N,236,132,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,March,Sunday,0 days 00:36:48,36.8,236 132,19.21166666666667,40.49444444444444,0
